threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.405,0.7172972972972973,0.44321977287909153,0.5478943022295625,1327,523,81913,1667,1850,61.666666666666664,44.233333333333334
0.41,0.7198910081743869,0.44121576486305947,0.5471112031476497,1321,514,81922,1673,1835,61.166666666666664,44.03333333333333
0.415,0.7227722772277227,0.43887775551102204,0.5461346633416458,1314,504,81932,1680,1818,60.6,43.8
0.42,0.7273233166388425,0.4365397461589846,0.5456063452306408,1307,490,81946,1687,1797,59.9,43.56666666666667
0.425,0.7286995515695067,0.43420173680694724,0.5441607367099205,1300,484,81952,1694,1784,59.46666666666667,43.333333333333336
0.43,0.7302927927927928,0.4331997327989312,0.5438155136268343,1297,479,81957,1697,1776,59.2,43.233333333333334
0.435,0.7343572241183163,0.43119572478289914,0.5433501683501684,1291,467,81969,1703,1758,58.6,43.03333333333333
0.44,0.7373563218390805,0.4285237140948564,0.5420363329108576,1283,457,81979,1711,1740,58.0,42.766666666666666
0.445,0.7419918462434478,0.4255177020708083,0.5408618127786032,1274,443,81993,1720,1717,57.233333333333334,42.46666666666667
0.45,0.7438452520515827,0.42384769539078154,0.54,1269,437,81999,1725,1706,56.86666666666667,42.3
0.455,0.7486662714878483,0.4218436873747495,0.5396282845545822,1263,424,82012,1731,1687,56.233333333333334,42.1
0.46,0.7516417910447761,0.42050768203072814,0.5393017776825874,1259,416,82020,1735,1675,55.833333333333336,41.96666666666667
0.465,0.7528562838244137,0.4181696726786907,0.5376852050676401,1252,411,82025,1742,1663,55.43333333333333,41.733333333333334
0.47,0.7566747572815534,0.416499665998664,0.5372684187850064,1247,401,82035,1747,1648,54.93333333333333,41.56666666666667
0.475,0.7590214067278287,0.41449565798263194,0.5361849211492763,1241,394,82042,1753,1635,54.5,41.36666666666667
0.48,0.7637941723496591,0.41148964595858384,0.5348382895593662,1232,381,82055,1762,1613,53.766666666666666,41.06666666666667
0.485,0.765,0.4088176352705411,0.5328689595124075,1224,376,82060,1770,1600,53.333333333333336,40.8
0.49,0.7668133249528598,0.4074816299265197,0.5321701199563794,1220,371,82065,1774,1591,53.03333333333333,40.666666666666664
0.495,0.7730451366815003,0.4061456245824983,0.5325158747536676,1216,357,82079,1778,1573,52.43333333333333,40.53333333333333
0.5,0.774728781110402,0.40547762191048764,0.5323393992545494,1214,353,82083,1780,1567,52.233333333333334,40.46666666666667
0.505,0.7776349614395887,0.40414161656646624,0.5318681318681319,1210,346,82090,1784,1556,51.86666666666667,40.333333333333336
0.51,0.7798579728857328,0.4034736138944556,0.5318071758749725,1208,341,82095,1786,1549,51.63333333333333,40.266666666666666
0.515,0.7832576249188838,0.4031396125584502,0.5323042998897464,1207,334,82102,1787,1541,51.36666666666667,40.233333333333334
0.52,0.7854807063440157,0.40113560454241814,0.5310634534600929,1201,328,82108,1793,1529,50.96666666666667,40.03333333333333
0.525,0.7882585751978892,0.3991315965263861,0.5299334811529932,1195,321,82115,1799,1516,50.53333333333333,39.833333333333336
0.53,0.7912234042553191,0.3974615898463594,0.5291240551356158,1190,314,82122,1804,1504,50.13333333333333,39.666666666666664
0.535,0.7958500669344043,0.39712758851035407,0.5298573975044564,1189,305,82131,1805,1494,49.8,39.63333333333333
0.54,0.802027027027027,0.39645958583834334,0.530621367903442,1187,293,82143,1807,1480,49.333333333333336,39.56666666666667
0.545,0.8057455540355677,0.39345357381429524,0.528725314183124,1178,284,82152,1816,1462,48.733333333333334,39.266666666666666
0.55,0.8075862068965517,0.39111556446225787,0.527002700270027,1171,279,82157,1823,1450,48.333333333333336,39.03333333333333
0.555,0.8101178101178101,0.39044756179024714,0.5269326121253098,1169,274,82162,1825,1443,48.1,38.96666666666667
