feature,source,gain,group,gain_share
num__V184,V184,2.538968801498413,V,0.0015713179736108471
num__V57,V57,2.5362958908081055,V,0.001569663761630354
num__V308,V308,2.5295090675354004,V,0.001565463529872552
num__V102,V102,2.521958827972412,V,0.001560790834751844
num__V175,V175,2.480102777481079,V,0.0015348869463690568
num__V173,V173,2.4609785079956055,V,0.001523051311225778
num__V297,V297,2.4546759128570557,V,0.0015191507587590638
num__V213,V213,2.44962477684021,V,0.0015160247097876314
num__V74,V74,2.4448060989379883,V,0.0015130425245822308
num__V183,V183,2.4377572536468506,V,0.0015086801325384096
cat__id_35_F,id_35,2.407259941101074,identity,0.0014898059441979603
num__V82,V82,2.3800342082977295,V,0.0014729564723677533
num__V160,V160,2.3716180324554443,V,0.001467747866274505
num__V315,V315,2.3674862384796143,V,0.0014651907800536552
num__V248,V248,2.3649773597717285,V,0.0014636380842485773
num__V251,V251,2.3298044204711914,V,0.0014418702422510545
num__V285,V285,2.3291430473327637,V,0.001441460931392622
num__V138,V138,2.3279387950897217,V,0.0014407156433082877
num__V137,V137,2.3202450275421143,V,0.0014359541215340915
cat__card4_american express,card4,2.233351469039917,card,0.0013821774031337203
num__V61,V61,2.229706048965454,V,0.001379921324177183
num__V66,V66,2.22335147857666,V,0.0013759886052479096
num__V83,V83,2.21652889251709,V,0.001371766240603026
num__V192,V192,2.2027761936187744,V,0.0013632549650994326
cat__card6_credit,card6,2.175696611404419,card,0.0013464959430010998
num__C6,C6,2.16880464553833,C,0.0013422306405552775
num__V226,V226,2.167154312133789,V,0.0013412092815927432
num__V325,V325,2.14396333694458,V,0.001326856842083104
freq__freq_R_emaildomain,R_emaildomain,2.1173923015594482,frequency,0.0013104125496390742
num__V151,V151,2.1164608001708984,V,0.0013098360617068837
num__D1,D1,2.115593910217285,D,0.0013092995605240212
num__V22,V22,2.1136045455932617,V,0.0013080683817919513
num__V123,V123,2.0922164916992188,V,0.0012948317348963955
num__C11,C11,2.092153549194336,C,0.0012947927810151314
num__id_08,id_08,2.0817668437957764,identity,0.0012883646528436764
num__V309,V309,2.0777313709259033,V,0.001285867177865367
num__V15,V15,2.066679000854492,V,0.0012790270828890295
num__id_09,id_09,2.05062198638916,identity,0.001269089711694466
num__V121,V121,2.0482406616210938,V,0.00126761595651998
num__V177,V177,2.04268217086792,V,0.0012641759156571473
num__V310,V310,2.0127320289611816,V,0.0012456403604890493
num__V293,V293,2.0092287063598633,V,0.001243472222870517
num__V131,V131,1.9766877889633179,V,0.0012233332875859237
num__V300,V300,1.9749678373336792,V,0.00122226884326987
num__V289,V289,1.9624992609024048,V,0.0012145522859650937
num__id_32,id_32,1.962317705154419,identity,0.0012144399246750085
num__V18,V18,1.9566975831985474,V,0.001210961741470105
num__V319,V319,1.953985571861267,V,0.0012092833308664022
num__V53,V53,1.9320646524429321,V,0.0011957169039533277
num__id_11,id_11,1.928672194480896,identity,0.001193617378284749
num__id_07,id_07,1.9215463399887085,identity,0.0011892073267574118
num__V321,V321,1.9060070514678955,V,0.0011795903659915024
num__V73,V73,1.8993288278579712,V,0.0011754573444341387
num__V140,V140,1.8894253969192505,V,0.001169328305343449
num__V44,V44,1.8893860578536987,V,0.001169303959167659
num__V247,V247,1.8750771284103394,V,0.0011604484434936536
num__V154,V154,1.8748595714569092,V,0.001160313801763906
num__V193,V193,1.8727627992630005,V,0.0011590161505943006
cat__DeviceType_desktop,DeviceType,1.870366096496582,identity,0.001157532878278369
num__V136,V136,1.8625843524932861,V,0.0011527169096019517
num__V2,V2,1.8554787635803223,V,0.001148319400043961
num__V56,V56,1.8497071266174316,V,0.0011447474471741206
num__V181,V181,1.8454005718231201,V,0.0011420822049117312
num__V47,V47,1.839862585067749,V,0.0011386548535708256
num__V76,V76,1.8272120952606201,V,0.001130825713647093
num__V13,V13,1.8124014139175415,V,0.00112165967356733
cat__M6_<missing>,M6,1.8053189516067505,M,0.001117276476609652
num__V72,V72,1.795966386795044,V,0.001111488357756312
num__V133,V133,1.7800376415252686,V,0.0011016303698500821
num__id_01,id_01,1.7470825910568237,identity,0.0010812351357330817
num__V253,V253,1.7264965772628784,V,0.0010684948557184801
num__C9,C9,1.7213246822357178,C,0.0010652940713650016
num__C2,C2,1.716966152191162,C,0.0010625966626400534
num__V55,V55,1.7169016599655151,V,0.001062556749667016
num__V85,V85,1.7134228944778442,V,0.0010604038099642798
num__V237,V237,1.695724368095398,V,0.0010494505392526622
num__id_21,id_21,1.6826493740081787,identity,0.0010413586819592688
num__id_03,id_03,1.672646164894104,identity,0.0010351678921136209
num__id_24,id_24,1.667532205581665,identity,0.0010320029630372148
num__V59,V59,1.6662153005599976,V,0.0010311879563585729
num__V314,V314,1.6541045904159546,V,0.001023692875477195
cat__DeviceType_mobile,DeviceType,1.6537656784057617,identity,0.0010234831294839498
num__V34,V34,1.6526445150375366,V,0.0010227892634739357
num__V282,V282,1.6517632007598877,V,0.00102224383535995
num__V86,V86,1.6510753631591797,V,0.0010218181461650769
num__D13,D13,1.6320888996124268,D,0.0010100677964133536
num__V188,V188,1.6301010847091675,V,0.0010088375767730573
num__V254,V254,1.6266796588897705,V,0.0010067201234659423
num__V313,V313,1.6180716753005981,V,0.0010013928113216453
cat__M5_T,M5,1.6052120923995972,M,0.0009934342677847747
num__id_26,id_26,1.6023077964782715,identity,0.0009916368560248623
num__V14,V14,1.595825433731079,V,0.0009876250489124167
num__V232,V232,1.5940474271774292,V,0.0009865246755430004
num__V19,V19,1.5888413190841675,V,0.0009833027173942136
num__V209,V209,1.588194489479065,V,0.0009829024072431944
num__V110,V110,1.5871485471725464,V,0.0009822550940723422
num__V36,V36,1.5846296548843384,V,0.0009806962010588812
num__V38,V38,1.5815151929855347,V,0.0009787687216992183
num__V328,V328,1.5761795043945312,V,0.0009754665687229052
num__V157,V157,1.5738524198532104,V,0.000974026381760493
num__D10,D10,1.570867896080017,D,0.0009721793185572272
num__V78,V78,1.53957200050354,V,0.0009528109028482415
num__V116,V116,1.505062222480774,V,0.0009314534783535054
num__V271,V271,1.503690242767334,V,0.0009306043870287576
num__V276,V276,1.4973299503326416,V,0.0009266681268375512
num__V170,V170,1.4953758716583252,V,0.000925458785887402
num__V29,V29,1.4926517009735107,V,0.0009237728501020917
num__V153,V153,1.485009789466858,V,0.0009190434210141641
num__V75,V75,1.4792052507400513,V,0.0009154511058882088
num__V302,V302,1.4749059677124023,V,0.000912790363979526
num__V135,V135,1.4731248617172241,V,0.0009116880724265626
num__V303,V303,1.47085440158844,V,0.0009102829292020299
num__V299,V299,1.4683150053024292,V,0.0009087113466666421
num__V124,V124,1.4618914127349854,V,0.0009047359112653009
num__V63,V63,1.4594142436981201,V,0.0009032028399534354
num__V6,V6,1.454673171043396,V,0.0009002686831130023
num__V322,V322,1.4529216289520264,V,0.0008991846880800265
num__V207,V207,1.4522490501403809,V,0.0008987684422503082
num__V164,V164,1.452012062072754,V,0.0008986217749852462
num__V288,V288,1.445107102394104,V,0.0008943484309237841
num__V270,V270,1.4403880834579468,V,0.0008914279226970514
freq__freq_P_emaildomain,P_emaildomain,1.4329276084899902,frequency,0.0008868107811229188
cat__M6_F,M6,1.4208887815475464,M,0.0008793601873445752
num__V25,V25,1.4190555810928345,V,0.0008782256555527625
freq__freq_addr1,addr1,1.4190144538879395,frequency,0.0008782002027326185
num__V150,V150,1.418226957321167,V,0.0008777128365590774
num__V231,V231,1.4177764654159546,V,0.0008774340359581371
num__D6,D6,1.4166288375854492,D,0.0008767237916116825
num__V244,V244,1.4116706848144531,V,0.0008736552881466629
num__V144,V144,1.407320499420166,V,0.0008709630437620337
num__V31,V31,1.4046152830123901,V,0.0008692888384068767
num__V125,V125,1.4028050899505615,V,0.0008681685454390867
num__D4,D4,1.4025931358337402,D,0.0008680373711949819
num__D12,D12,1.3996003866195679,D,0.0008661852174276873
cat__id_12_<missing>,id_12,1.396665334701538,identity,0.0008643687713848846
num__V51,V51,1.3961236476898193,V,0.0008640335319218857
num__V77,V77,1.3905599117279053,V,0.0008605902449022811
num__D15,D15,1.3846431970596313,D,0.0008569285062871792
num__V250,V250,1.3770757913589478,V,0.000852245187380672
num__id_10,id_10,1.370773434638977,identity,0.0008483447824665382
num__card2,card2,1.367278814315796,card,0.0008461820305171958
num__V249,V249,1.3649427890777588,V,0.0008447363103330131
num__V24,V24,1.3624707460403442,V,0.0008432064114016293
num__V43,V43,1.3604367971420288,V,0.0008419476403369976
num__V318,V318,1.3554420471191406,V,0.0008388564875508643
num__V292,V292,1.3545094728469849,V,0.0008382793356320615
num__V26,V26,1.351613998413086,V,0.0008364873833176293
num__V148,V148,1.340593695640564,V,0.0008296671341633751
num__V338,V338,1.33905827999115,V,0.0008287168955446636
num__V176,V176,1.3340435028076172,V,0.0008256133483417644
num__V178,V178,1.3339154720306396,V,0.0008255341126060116
num__V245,V245,1.329201579093933,V,0.0008226167767597607
freq__freq_id_30,id_30,1.3260101079940796,frequency,0.0008206416379165815
num__V298,V298,1.3231691122055054,V,0.000818883401366804
num__V32,V32,1.3221009969711304,V,0.0008182223658059611
num__V49,V49,1.322054386138916,V,0.0008181935192764645
freq__freq_card1,card1,1.321227788925171,frequency,0.000817681954479714
num__V7,V7,1.319757103919983,V,0.0008167717763866205
num__V129,V129,1.3141101598739624,V,0.0008132769935164056
num__id_04,id_04,1.310422658920288,identity,0.000810994871529402
freq__freq_card2,card2,1.307868242263794,frequency,0.0008094139931814399
num__V197,V197,1.3060874938964844,V,0.0008083119229573472
num__V220,V220,1.3051058053970337,V,0.000807704375206952
num__V3,V3,1.2971806526184082,V,0.0008027996536533366
num__V304,V304,1.2963087558746338,V,0.0008022600538662826
num__V35,V35,1.2941229343414307,V,0.0008009072918078435
cat__M5_F,M5,1.2897872924804688,M,0.0007982240481306276
freq__freq_card1_card6,card1_card6,1.2864391803741455,frequency,0.0007961519672420302
cat__M6_T,M6,1.284454345703125,M,0.0007949235920089908
num__V130,V130,1.2835134267807007,V,0.0007943412757498689
cat__id_12_NotFound,id_12,1.2831419706344604,identity,0.0007941113888293793
num__V9,V9,1.2810665369033813,V,0.0007928269436157326
num__V98,V98,1.279301404953003,V,0.0007917345380856656
num__V52,V52,1.2788901329040527,V,0.0007914800098842251
num__D8,D8,1.2718583345413208,D,0.0007871281678499129
cat__id_28_Found,id_28,1.2628663778305054,identity,0.0007815632222746477
cat__M4_M2,M4,1.2605020999908447,M,0.0007801000171096704
num__card5,card5,1.249984860420227,card,0.0007735911039003668
num__V278,V278,1.2487925291061401,V,0.0007728531934450599
num__card1,card1,1.2464916706085205,card,0.0007714292372665077
num__V105,V105,1.2459776401519775,V,0.000771111113902852
num__V155,V155,1.2417242527008057,V,0.0007684787758659243
num__V42,V42,1.2325228452682495,V,0.00076278420534865
num__V228,V228,1.2280136346817017,V,0.0007599935433927972
num__V146,V146,1.2273070812225342,V,0.0007595562713203513
num__V114,V114,1.221842885017395,V,0.0007561745875031242
num__V46,V46,1.22083580493927,V,0.000755551325402901
num__V259,V259,1.2156239748001099,V,0.0007523258259921812
num__V145,V145,1.2145514488220215,V,0.0007516620607085983
