threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.67,0.8938700823421775,0.33876560332871014,0.49132511943676144,977,116,82044,1907,1093,36.43333333333333,32.56666666666667
0.675,0.8929889298892989,0.3356449375866852,0.4879032258064517,968,116,82044,1916,1084,36.13333333333333,32.266666666666666
0.68,0.8948837209302326,0.33356449375866853,0.485981308411215,962,113,82047,1922,1075,35.833333333333336,32.06666666666667
0.685,0.8969072164948454,0.33183079056865467,0.4844343204252088,957,110,82050,1927,1067,35.56666666666667,31.9
0.69,0.8980169971671388,0.329750346740638,0.48237382703525233,951,108,82052,1933,1059,35.3,31.7
0.695,0.9001901140684411,0.32836338418862693,0.48119918699186986,947,105,82055,1937,1052,35.06666666666667,31.566666666666666
0.7,0.9010566762728146,0.32524271844660196,0.4779617834394905,938,103,82057,1946,1041,34.7,31.266666666666666
0.705,0.9005791505791506,0.3235090152565881,0.47602040816326535,933,103,82057,1951,1036,34.53333333333333,31.1
0.71,0.9027237354085603,0.3217753120665742,0.474437627811861,928,100,82060,1956,1028,34.266666666666666,30.933333333333334
0.715,0.9034146341463415,0.3210818307905687,0.4737784599641852,926,99,82061,1958,1025,34.166666666666664,30.866666666666667
0.72,0.904621435594887,0.31900138696255204,0.4716739297615996,920,97,82063,1964,1017,33.9,30.666666666666668
0.725,0.9057539682539683,0.3165742024965326,0.4691675231243576,913,95,82065,1971,1008,33.6,30.433333333333334
0.73,0.9059059059059059,0.31380027739251043,0.46613443214009787,905,94,82066,1979,999,33.3,30.166666666666668
0.735,0.907070707070707,0.31137309292649096,0.46360351058337634,898,92,82068,1986,990,33.0,29.933333333333334
0.74,0.9073319755600815,0.30894590846047154,0.46094154164511125,891,91,82069,1993,982,32.733333333333334,29.7
0.745,0.9071207430340558,0.30478502080443826,0.4562678432390345,879,90,82070,2005,969,32.3,29.3
0.75,0.9085239085239085,0.3030513176144244,0.4544981799271971,874,88,82072,2010,962,32.06666666666667,29.133333333333333
0.755,0.9106203995793901,0.3002773925104022,0.45162972620599734,866,85,82075,2018,951,31.7,28.866666666666667
0.76,0.9118895966029724,0.2978502080443828,0.44903293256664917,859,83,82077,2025,942,31.4,28.633333333333333
0.765,0.9110396570203644,0.2947295423023578,0.4453759496987162,850,83,82077,2034,933,31.1,28.333333333333332
0.77,0.9125269978401728,0.29299583911234395,0.4435695538057743,845,81,82079,2039,926,30.866666666666667,28.166666666666668
0.775,0.9128540305010894,0.29056865464632453,0.4408206207259337,838,80,82080,2046,918,30.6,27.933333333333334
