threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.57,884740.0549999999,4973.5185,889713.5734999999,3255,485,4275,0.019667648296171646,0.8703208556149733,0.43227091633466136,0.577639751552795
0.575,886930.0549999999,4852.2883999999995,891782.3433999999,3246,475,4284,0.0195677324358435,0.8723461435098092,0.43107569721115535,0.5770153764109857
0.58,889272.288,4773.5756,894045.8635999999,3233,468,4297,0.0194625578460244,0.8735476898135639,0.42934926958831343,0.575727896002137
0.585,893321.662,4656.8933,897978.5553,3219,459,4311,0.019341607067732434,0.8752039151712887,0.42749003984063744,0.5744111349036403
0.59,895416.283,4579.034900000001,899995.3179,3205,453,4325,0.019236432477913335,0.8761618370694368,0.4256308100929615,0.5729352878083661
0.595,897333.69,4502.6274,901836.3173999999,3191,447,4339,0.019131257888094236,0.877130291368884,0.4237715803452855,0.5714541547277937
0.6,898120.098,4441.996800000001,902562.0948,3183,441,4347,0.019057635675220865,0.8783112582781457,0.42270916334661357,0.5707369553523399
0.605,898712.8200000001,4381.7789,903094.5989000001,3176,435,4354,0.018989272191838453,0.8795347549155359,0.42177954847277555,0.570146306435688
0.61,900618.917,4320.8097,904939.7267,3164,428,4366,0.01888935633151031,0.8808463251670379,0.4201859229747676,0.5689624168315052
0.615,902869.1399999999,4238.0555,907107.1954999999,3146,421,4384,0.01875788809423643,0.8819736473226801,0.41779548472775563,0.5670000901144453
0.62,904646.793,4157.1473000000005,908803.9402999999,3131,415,4399,0.018647454774926377,0.8829667230682459,0.41580345285524567,0.5653665583243047
0.625,909870.657,3978.2913000000003,913848.9483,3110,403,4420,0.018473916701724862,0.8852832337033875,0.41301460823373176,0.5632527392918592
0.63,912181.6240000001,3937.9186,916119.5426,3093,398,4437,0.018358224652923853,0.8859925522772845,0.41075697211155376,0.5612920787587332
0.635,913490.5830000001,3900.3282,917390.9112000001,3080,391,4450,0.018253050063104754,0.8873523480265053,0.40903054448871184,0.5599490955367693
0.64,915859.292,3765.0864,919624.3784,3066,383,4464,0.018137358014303745,0.8889533198028414,0.40717131474103585,0.5585208124601512
0.645,919225.063,3717.6604,922942.7234,3049,377,4481,0.01801640723601178,0.8899591360186807,0.4049136786188579,0.5565899963490325
0.65,921219.808,3656.5632,924876.3711999999,3034,372,4496,0.01791123264619268,0.8907809747504404,0.40292164674634795,0.5548646671543526
0.655,923886.8500000001,3615.8352000000004,927502.6852000001,3013,367,4517,0.01777450567942785,0.8914201183431952,0.400132802124834,0.5523373052245646
0.66,925641.216,3553.5528999999997,929194.7689,3000,362,4530,0.01767984854859066,0.892325996430696,0.398406374501992,0.5508630187293426
0.665,926597.8190000001,3450.1901000000003,930048.0091000001,2989,350,4541,0.017558897770298697,0.8951781970649895,0.3969455511288181,0.5500046002392125
0.67,928738.222,3389.0003,932127.2222999999,2977,340,4553,0.017443205721497688,0.8974977389207115,0.3953519256308101,0.5489075320365078
0.675,932614.5529999998,3337.7429,935952.2958999998,2959,335,4571,0.01732225494320572,0.8982999392835458,0.39296148738379816,0.5467479674796748
0.68,934502.648,3319.2636,937821.9116,2944,333,4586,0.017232856541859486,0.8983826670735429,0.3909694555112882,0.5448320532987879
0.685,936632.826,3229.3624,939862.1884,2930,328,4600,0.01713294068153134,0.8993247391037447,0.3891102257636122,0.5431961438635521
0.69,938629.7480000001,3154.5362000000005,941784.2842000001,2914,322,4616,0.017017248632730332,0.9004944375772559,0.3869853917662683,0.5413338287200447
0.695,941084.7790000001,3090.2867,944175.0657000002,2897,314,4633,0.01688578039545646,0.9022111491747119,0.3847277556440903,0.5394283586258262
0.7,944382.8529999999,3067.2536,947450.1065999999,2879,309,4651,0.01676482961716449,0.9030740276035132,0.3823373173970784,0.5372270946072029
0.705,946063.0860000001,3019.6785,949082.7645000002,2863,304,4667,0.016654396297854437,0.904010104199558,0.3802124833997344,0.5352902682995232
0.71,953880.2000000001,2968.5204,956848.7204000001,2837,296,4693,0.016475599495161967,0.9055218640280881,0.37675962815405045,0.5321204163931351
0.715,957529.385,2899.7796,960429.1646,2815,292,4715,0.01633887252839714,0.9060186675249436,0.3738379814077025,0.5292845727178717
0.72,960104.9130000001,2769.5789999999997,962874.4920000001,2798,286,4732,0.016217921750105176,0.9072632944228275,0.3715803452855246,0.5272281891840965
0.725,961776.206,2669.3959000000004,964445.6019,2786,281,4744,0.01612852334875894,0.9083795239647864,0.3699867197875166,0.5258091912805511
0.73,963804.4820000001,2521.3595,966325.8415000001,2772,271,4758,0.01600231384097602,0.9109431482090042,0.36812749003984063,0.5243544878464013
0.735,968168.187,2449.4116,970617.5986,2749,265,4781,0.015849810685738326,0.9120769741207697,0.3650730411686587,0.5214339908952959
0.74,970316.464,2383.5667000000003,972700.0307,2736,261,4794,0.01576041228439209,0.9129129129129129,0.3633466135458167,0.5198062125961813
0.745,971350.385,2303.4853000000003,973653.8703000001,2726,256,4804,0.015681531342027766,0.9141515761234071,0.36201859229747674,0.5186453576864535
0.75,972636.7960000001,2197.2046,974834.0006000001,2709,244,4821,0.015529028186790072,0.9173721639011175,0.3597609561752988,0.516836783363541
0.755,974471.51,2174.7312,976646.2412,2696,242,4834,0.015450147244425746,0.9176310415248469,0.3580345285524568,0.5150936186473061
0.76,977600.581,2144.3272000000006,979744.9082000001,2679,237,4851,0.015334455195624737,0.918724279835391,0.3557768924302789,0.5129236071223435
0.765,980127.3659999999,2082.3132,982209.6791999999,2664,232,4866,0.015229280605805638,0.919889502762431,0.3537848605577689,0.5110301170151544
0.77,981868.267,2065.6189,983933.8859,2645,229,4885,0.015113588557004627,0.9203201113430759,0.351261620185923,0.5084582852748942
