threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.61,921865.6240000001,4662.3529,926527.9769000001,2987,425,4543,0.01794278502313841,0.8754396248534584,0.3966799468791501,0.5459696581977702
0.615,923617.89,4371.9066,927989.7966,2977,413,4553,0.0178270929743374,0.8781710914454277,0.3953519256308101,0.5452380952380953
0.62,925511.4199999999,4257.9784,929769.3984,2963,408,4567,0.017727177114009254,0.8789676653811925,0.3934926958831341,0.5436198513897808
0.625,928450.888,4020.3062,932471.1942,2951,394,4579,0.017590450147244426,0.8822122571001495,0.39189907038512617,0.542712643678161
0.63,931709.524,3943.3868999999995,935652.9109,2930,386,4600,0.01743794699200673,0.8835946924004825,0.3891102257636122,0.540291351650378
0.635,934435.6410000001,3910.2575,938345.8985,2912,383,4618,0.017327513672696675,0.883763277693475,0.38671978751660024,0.538013856812933
0.64,936415.576,3795.3605,940210.9365,2894,376,4636,0.017196045435422802,0.8850152905198777,0.38432934926958834,0.5359259259259259
0.645,938269.844,3696.9341,941966.7781,2887,366,4643,0.017106647034076567,0.8874884721795266,0.3833997343957503,0.5354725030140035
0.65,942065.949,3641.5823,945707.5313,2875,356,4655,0.016990954985275558,0.889817393995667,0.38180610889774236,0.5343369575318279
0.655,943410.353,3615.7804,947026.1334,2861,354,4669,0.016906815313420278,0.8898911353032659,0.3799468791500664,0.5325267566309912
0.66,945028.8790000001,3518.4028000000003,948547.2818000001,2848,342,4682,0.016775347076146405,0.8927899686520376,0.37822045152722444,0.5313432835820896
0.665,946583.135,3488.4221,950071.5571,2834,339,4696,0.01668594867480017,0.8931610463283959,0.37636122177954845,0.5295711482761842
0.67,947964.699,3426.7142000000003,951391.4132000001,2824,331,4706,0.01659129154396298,0.8950871632329636,0.3750332005312085,0.5285914833879269
0.675,949267.474,3358.0905000000002,952625.5645000001,2806,325,4724,0.016465082036180058,0.8961992973490898,0.37264276228419657,0.5264046524716256
0.68,951446.2119999999,3315.334,954761.546,2796,321,4734,0.01639145982330669,0.8970163618864293,0.3713147410358566,0.5252183713722176
0.685,952423.0900000001,3266.6529,955689.7429000001,2783,315,4747,0.016291543962978543,0.8983214977404778,0.3695883134130146,0.5237109522017313
0.69,953919.888,3233.1857,957153.0737000001,2772,310,4758,0.016207404291123266,0.899415963659961,0.36812749003984063,0.5224274406332454
0.695,955666.719,3137.9291999999996,958804.6482,2758,305,4772,0.01610748843079512,0.900424420502775,0.3662682602921647,0.5207212310016048
0.7,957566.84,2969.8891000000003,960536.7291,2748,298,4782,0.016018090029448886,0.902166776099803,0.3649402390438247,0.5196671709531013
0.705,959604.341,2913.4399,962517.7809,2737,291,4793,0.015923432898611697,0.9038969616908851,0.36347941567065073,0.5184694070846751
0.71,961013.804,2876.1180999999997,963889.9221,2731,288,4799,0.0158761043331931,0.9046041735674064,0.3626826029216467,0.5177741966063134
0.715,962189.693,2738.8050000000003,964928.498,2719,277,4811,0.015755153554901136,0.907543391188251,0.36108897742363877,0.516625498764963
0.72,964179.2379999999,2675.5946999999996,966854.8326999999,2707,274,4823,0.01567627261253681,0.9080845353908085,0.3594953519256308,0.5150794405860527
0.725,965520.5129999999,2541.4779,968061.9909,2697,263,4833,0.015565839293226757,0.9111486486486486,0.35816733067729084,0.5142040038131553
0.73,966500.304,2539.4280999999996,969039.7321,2685,262,4845,0.015497475809844341,0.9110960298608755,0.3565737051792829,0.5125513028538704
0.735,969289.8579999999,2482.7281,971772.5860999998,2672,260,4858,0.015418594867480017,0.9113233287858117,0.3548472775564409,0.5108009940737909
0.74,971826.0930000001,2441.4209,974267.5139000001,2653,254,4877,0.015287126630206142,0.912624699002408,0.35232403718459493,0.5083836351441985
0.745,973265.578,2423.5784999999996,975689.1564999999,2638,250,4892,0.015187210769877998,0.9134349030470914,0.35033200531208497,0.5064311768093684
0.75,976907.23,2391.7323000000006,979298.9623,2619,244,4911,0.015055742532604123,0.9147747118407266,0.34780876494023905,0.5039930722601751
0.755,978657.4010000001,2367.8117,981025.2127,2602,240,4928,0.014945309213294069,0.9155524278676987,0.3455511288180611,0.5017354415734671
0.76,980721.023,2346.5736,983067.5966,2579,235,4951,0.014798064787547329,0.9164889836531628,0.34249667994687916,0.4986465583913379
0.765,982216.0439999999,2274.8956000000007,984490.9395999999,2566,229,4964,0.014698148927219185,0.9180679785330949,0.3407702523240372,0.4970460048426151
0.77,984153.39,2248.7517,986402.1417,2547,226,4983,0.014582456878418174,0.9184998196898666,0.33824701195219126,0.4944191012326507
0.775,985046.538,2182.896,987229.4339999999,2533,220,4997,0.014477282288599074,0.9200871776244097,0.33638778220451526,0.49265778469318283
0.78,987130.601,2050.6774,989181.2784000001,2522,215,5008,0.014393142616743794,0.9214468396054074,0.3349269588313413,0.49128275056004683
0.785,992235.4710000001,2026.3073000000002,994261.7783000001,2505,209,5025,0.01427219183845183,0.9229918938835667,0.33266932270916333,0.4890667707926591
0.79,993946.556,2001.0121000000001,995947.5681,2492,206,5038,0.01418805216659655,0.9236471460340994,0.33094289508632135,0.48728979272585055
0.795,998012.7609999999,1966.0674999999999,999978.8285,2459,200,5071,0.013982961716449306,0.9247837532907108,0.3265604249667995,0.48267739719305136
0.8,1001578.2150000001,1944.1888000000001,1003522.4038000001,2441,195,5089,0.013862010938157341,0.9260242792109257,0.32416998671978753,0.4802282116860122
0.805,1003052.1969999999,1846.2895,1004898.4864999999,2427,186,5103,0.013741060159865377,0.928817451205511,0.32231075697211153,0.4785566400473233
