threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.43,841235.993,10367.8737,851603.8667,3517,803,4013,0.022717711400925537,0.8141203703703703,0.4670650730411687,0.5935864978902953
0.435,842479.247,9914.5608,852393.8078,3508,781,4022,0.022554690786705932,0.817906271858242,0.46586985391766267,0.593620441661731
0.44,843775.834,9717.3615,853493.1955,3497,762,4033,0.02239692890197728,0.8210847616811459,0.46440903054448873,0.5932649079650522
0.445,845922.881,9446.584700000001,855369.4657000001,3486,749,4044,0.022270719394194363,0.8231404958677686,0.46294820717131474,0.5926051848703783
0.45,847979.0800000001,9057.425599999999,857036.5056,3475,730,4055,0.02211295750946571,0.8263971462544589,0.46148738379814075,0.5922454196847039
0.455,849958.5800000001,8844.352200000001,858802.9322,3463,717,4067,0.02198148927219184,0.8284688995215311,0.4598937583001328,0.591460290350128
0.46,853517.535,8731.673900000002,862249.2089000001,3450,708,4080,0.02186579722339083,0.8297258297258298,0.4581673306772908,0.5903490759753593
0.465,857636.456,8534.2061,866170.6621,3432,692,4098,0.02168700042069836,0.8322017458777885,0.45577689243027886,0.5889823236656941
0.47,860818.3960000001,8331.733100000001,869150.1291,3418,678,4112,0.02153975599495162,0.83447265625,0.4539176626826029,0.5879924307586445
0.475,863915.534,8196.2692,872111.8032,3404,668,4126,0.0214135464871687,0.8359528487229863,0.452058432934927,0.5867953801068782
0.48,866349.771,8016.3613,874366.1322999999,3387,658,4143,0.021271560790912917,0.8373300370828183,0.449800796812749,0.5852267818574514
0.485,867718.185,7914.6306,875632.8156000001,3376,651,4154,0.021176903660075727,0.8383411969207847,0.44833997343957505,0.5842346629748204
0.49,869352.299,7648.0474,877000.3464,3360,639,4170,0.021029659234328986,0.8402100525131283,0.44621513944223107,0.5828779599271403
0.495,872347.5859999999,7417.852800000001,879765.4387999999,3342,625,4188,0.020861379890618426,0.8424502142677086,0.4438247011952191,0.5813690527963816
0.5,874738.044,7328.0244999999995,882066.0685,3326,616,4204,0.020729911653344552,0.8437341451040081,0.4416998671978752,0.5798465829846583
0.505,877758.872,7203.365,884962.237,3313,609,4217,0.020624737063525453,0.8447220805711372,0.4399734395750332,0.578588892769822
0.51,878947.794,7006.6492,885954.4432,3300,594,4230,0.02047749263777871,0.847457627118644,0.43824701195219123,0.5777310924369747
0.515,881134.5660000001,6742.506300000001,887877.0723000001,3285,585,4245,0.020351283129995793,0.8488372093023255,0.4362549800796813,0.5763157894736842
0.52,884371.0889999999,6589.8928000000005,890960.9818,3274,577,4256,0.02025136726966765,0.8501687873279667,0.4347941567065073,0.575344873034004
0.525,885456.076,6413.797500000001,891869.8735,3262,568,4268,0.020140933950357594,0.8516971279373368,0.43320053120849933,0.5742957746478874
0.53,887005.079,6364.1679,893369.2469,3247,565,4283,0.020046276819520405,0.8517838405036726,0.43120849933598937,0.5725621583494975
0.535,888314.706,6258.1072,894572.8132,3238,554,4292,0.019941102229701305,0.8539029535864979,0.4300132802124834,0.5719837484543367
0.54,889325.996,6160.0448,895486.0408000001,3230,542,4300,0.019835927639882206,0.8563096500530223,0.42895086321381143,0.5715802512829588
0.545,891047.5869999999,6053.451800000001,897101.0388,3219,531,4311,0.019720235591081194,0.8584,0.42749003984063744,0.5707446808510638
0.55,893164.266,5894.3291,899058.5950999999,3207,520,4323,0.01959928481278923,0.8604775959216528,0.4258964143426295,0.569778804299547
0.555,894206.727,5763.5991,899970.3261,3199,506,4331,0.01948359276398822,0.8634278002699055,0.4248339973439575,0.5694704049844236
0.56,895647.105,5652.8965,901300.0015,3186,502,4344,0.019394194362641986,0.863882863340564,0.4231075697211155,0.5680156890711356
0.565,897175.395,5602.391,902777.786,3170,493,4360,0.019262726125368113,0.8654108654108654,0.4209827357237716,0.5664254444742249
0.57,901411.473,5279.461,906690.934,3158,475,4372,0.019104964240639462,0.8692540600055051,0.41938911022576364,0.5657977246259966
0.575,903658.599,5148.1236,908806.7226000001,3146,461,4384,0.01896823727387463,0.872192958136956,0.41779548472775563,0.5649636347310766
0.58,905405.2300000001,5003.8853,910409.1153000001,3132,450,4398,0.018836769036600757,0.8743718592964824,0.4159362549800797,0.5637149028077755
0.585,907739.89,4956.552,912696.442,3111,444,4419,0.018694783340344974,0.8751054852320675,0.4131474103585657,0.5612990527740189
0.59,909612.096,4888.6814,914500.7774,3095,438,4435,0.01857909129154396,0.876026040192471,0.4110225763612218,0.559522733435777
0.595,910775.426,4821.3442,915596.7702,3086,430,4444,0.018489692890197727,0.8777019340159272,0.4098273572377158,0.558754300199167
0.6,912087.0299999999,4643.9345,916730.9644999999,3079,421,4451,0.01840555321834245,0.8797142857142857,0.4088977423638778,0.558295557570263
0.605,912861.3559999999,4514.8642,917376.2201999999,3067,410,4463,0.018284602440050483,0.8820822548173713,0.40730411686586987,0.5572817298083038
0.61,914202.3459999999,4422.7936,918625.1395999999,3054,402,4476,0.01817416912074043,0.8836805555555556,0.4055776892430279,0.55598033861278
0.615,916120.636,4407.0642,920527.7002000001,3046,400,4484,0.01812158182583088,0.8839233894370284,0.4045152722443559,0.5550291545189504
0.62,918233.288,4306.5711,922539.8590999999,3034,392,4496,0.01801640723601178,0.8855808523058961,0.40292164674634795,0.5538517707192406
0.625,920523.648,4148.8161,924672.4641000001,3016,388,4514,0.01790071518721077,0.8860164512338425,0.400531208499336,0.5516736784342419
0.63,922833.6279999999,4093.525,926927.1529999999,3003,379,4527,0.01778502313840976,0.8879361324659965,0.398804780876494,0.5504032258064515
0.635,926302.7339999999,4030.599,930333.333,2986,371,4544,0.017653554901135887,0.8894846589216563,0.39654714475431607,0.5485441352071279
0.64,927902.302,3968.9350000000004,931871.2370000001,2973,366,4557,0.017558897770298697,0.8903863432165319,0.3948207171314741,0.5470604471432515
0.645,928492.284,3785.4047,932277.6886999999,2962,362,4568,0.01748001682793437,0.8910950661853189,0.3933598937583001,0.5457895706651925
0.65,929787.1819999999,3701.7712,933488.9531999999,2952,353,4578,0.017380100967606227,0.8931921331316187,0.39203187250996013,0.544900784494693
0.655,930768.164,3502.9239000000002,934271.0879,2938,343,4592,0.01725389145982331,0.8954587016153611,0.3901726427622842,0.5435204883914532
0.66,932481.717,3338.6804,935820.3973999999,2926,331,4604,0.017127681952040386,0.8983727356463003,0.38857901726427624,0.5425048669695004
0.665,933824.5449999999,3173.4063000000006,936997.9513,2909,323,4621,0.016996213714766513,0.9000618811881188,0.3863213811420983,0.5406058353465898
0.67,936536.719,3147.9425,939684.6615,2894,319,4636,0.01689629785443837,0.9007158418923125,0.38432934926958834,0.5387694312575632
0.675,938293.466,3135.3568000000005,941428.8228,2883,317,4647,0.016827934371055953,0.9009375,0.38286852589641435,0.5373718546132339
0.68,940453.7420000001,3032.8287,943486.5707,2872,309,4658,0.016728018510727808,0.9028607356177303,0.38140770252324036,0.5362711231444309
0.685,943455.5279999999,2929.8476,946385.3755999999,2856,302,4674,0.016607067732435844,0.9043698543381887,0.37928286852589643,0.534431137724551
0.69,945358.996,2878.7740000000003,948237.77,2846,297,4684,0.01652818679007152,0.9055042952593064,0.37795484727755646,0.5333083481682751
0.695,948429.26,2848.5093,951277.7693,2833,293,4697,0.016438788388725284,0.9062699936020473,0.3762284196547145,0.5317192192192192
0.7,949384.702,2799.8323,952184.5343,2817,289,4713,0.016333613798906185,0.9069542820347715,0.3741035856573705,0.5297104174501692
0.705,952446.176,2708.6648,955154.8408,2801,282,4729,0.01621266302061422,0.9085306519623743,0.3719787516600266,0.5278432111561293
0.71,954250.226,2656.8619,956907.0879,2784,278,4746,0.016102229701304163,0.9092096668843893,0.3697211155378486,0.525679758308157
0.715,955135.4299999999,2498.2721999999994,957633.7021999999,2770,272,4760,0.015997055111485064,0.9105851413543721,0.36786188579017265,0.5240257283390087
0.72,957606.314,2458.0507,960064.3647,2754,267,4776,0.01588662179217501,0.9116186693147964,0.36573705179282867,0.522035825988058
0.725,960626.6699999999,2450.5343000000003,963077.2043,2742,265,4788,0.01581299957930164,0.9118722979714,0.3641434262948207,0.5204517414823954
0.73,964404.4340000001,2410.0036,966814.4376000002,2723,261,4807,0.015692048801009675,0.9125335120643432,0.3616201859229748,0.5179760319573902
0.735,967401.835,2401.2668,969803.1018,2707,260,4823,0.015602650399663442,0.9123693966970003,0.3594953519256308,0.5157664094503192
0.74,969640.526,2315.8004,971956.3263999999,2692,255,4838,0.015497475809844341,0.9134713267729895,0.35750332005312085,0.5138875632337502
0.745,973194.2449999999,2275.7012,975469.9461999999,2672,249,4858,0.015360748843079511,0.9147552208147894,0.3548472775564409,0.5113386278824993
0.75,975429.9739999999,2255.7923,977685.7662999999,2655,245,4875,0.015250315523769457,0.9155172413793103,0.35258964143426297,0.5091083413231065
0.755,977850.2839999999,2246.3786,980096.6625999999,2638,243,4892,0.015150399663441312,0.9156542867060049,0.35033200531208497,0.506771683795985
0.76,979734.7620000001,2161.2435000000005,981896.0055000001,2619,237,4911,0.015018931426167437,0.917016806722689,0.34780876494023905,0.5043327556325823
0.765,982762.129,2066.3828000000003,984828.5118,2600,232,4930,0.014892721918384519,0.9180790960451978,0.3452855245683931,0.5018336228527311
0.77,985622.6529999999,2045.1335,987667.7864999999,2584,229,4946,0.014792806058056374,0.9185922502666193,0.34316069057104914,0.49966160688388284
0.775,988391.7030000001,2022.0164000000002,990413.7194000001,2565,225,4965,0.014671855279764409,0.9193548387096774,0.34063745019920316,0.4970930232558139
0.78,991247.8970000001,1906.3264000000001,993154.2234000001,2546,214,4984,0.01451409339503576,0.922463768115942,0.33811420982735724,0.4948493683187561
0.785,993152.706,1817.8069,994970.5129,2528,207,5002,0.014382625157761885,0.9243144424131627,0.3357237715803453,0.49254749147588894
0.79,995237.249,1796.2123000000001,997033.4613,2513,203,5017,0.01428270929743374,0.9252577319587629,0.3337317397078353,0.4905328908842475
0.795,996544.4070000001,1782.8593,998327.2663000001,2499,201,5031,0.01419856962557846,0.9255555555555556,0.3318725099601594,0.48856304985337246
0.8,1000204.8949999999,1689.3173000000002,1001894.2122999999,2474,195,5056,0.014035549011358856,0.926938928437617,0.32855245683930945,0.48514560251005
0.805,1002068.816,1662.1999999999998,1003731.016,2452,192,5078,0.013904080774084981,0.9273827534039334,0.32563081009296146,0.48201297424808337
0.81,1003879.22,1632.6225,1005511.8425,2431,188,5099,0.013772612536811106,0.9282168766704849,0.32284196547144756,0.4790619765494138
0.815,1005175.578,1558.5666,1006734.1446,2414,184,5116,0.013662179217501052,0.9291762894534257,0.3205843293492696,0.47669826224328593
0.82,1007988.038,1505.4254,1009493.4633999999,2391,179,5139,0.013514934791754312,0.9303501945525292,0.31752988047808767,0.47346534653465344
0.825,1011022.7509999999,1417.9331000000002,1012440.6841,2375,169,5155,0.013378207824989483,0.9335691823899371,0.3154050464807437,0.4715108199324995
0.83,1013398.863,1370.2249000000002,1014769.0879,2349,163,5181,0.013209928481278922,0.9351114649681529,0.31195219123505974,0.46783509261103357
0.835,1020459.014,1315.2115000000001,1021774.2255,2317,159,5213,0.013020614219604543,0.93578352180937,0.30770252324037184,0.4631221267239656
0.84,1024265.076,1265.9827,1025531.0587,2293,152,5237,0.012857593605384939,0.9378323108384458,0.30451527224435593,0.459749373433584
0.845,1027229.218,1250.8168999999998,1028480.0349,2261,149,5269,0.012673538073201514,0.9381742738589212,0.300265604249668,0.45492957746478874
0.85,1030264.146,1236.7689999999998,1031500.9149999999,2242,147,5288,0.01256310475389146,0.9384679782335705,0.29774236387782205,0.4520616997681218
0.855,1032550.0249999999,1228.1529,1033778.1778999999,2217,145,5313,0.012421119057635675,0.9386113463166808,0.2944223107569721,0.44824100283057017
0.86,1036305.4559999999,1196.1116,1037501.5675999998,2190,139,5340,0.01224758098443416,0.9403177329325891,0.2908366533864542,0.44426412415052247
0.865,1039299.1000000001,1145.8841,1040444.9841000001,2157,134,5373,0.012047749263777871,0.9415102575294632,0.2864541832669323,0.43926280419509217
0.87,1042268.489,1117.3774999999998,1043385.8664999999,2132,130,5398,0.011895246108540177,0.9425287356321839,0.28313413014608235,0.43545751633986934
0.875,1046000.324,1079.0647000000001,1047079.3887,2093,125,5437,0.011663862010938157,0.9436429215509468,0.2779548472775564,0.4294214197784161
0.88,1049417.9700000002,1024.7796,1050442.7496000002,2053,118,5477,0.011416701724863273,0.9456471672040534,0.27264276228419654,0.4232553345015978
0.885,1053037.673,1001.6324,1054039.3054,2024,115,5506,0.011248422381152713,0.946236559139785,0.26879150066401064,0.41865756541524457
0.89,1057653.908,949.1652,1058603.0732,1981,110,5549,0.010996003365586874,0.9473935915829746,0.26308100929614875,0.41180750441742026
0.895,1062686.784,853.1751,1063539.9591,1946,103,5584,0.010775136726966766,0.9497315763787213,0.25843293492695885,0.4063054598601107
0.9,1066135.563,829.5745,1066965.1375000002,1906,98,5624,0.010538493899873791,0.9510978043912176,0.25312084993359896,0.39983217956786243
0.905,1072413.3709999998,795.6425,1073209.0135,1865,97,5665,0.010317627261253681,0.9505606523955148,0.24767596281540505,0.39296249473240624
0.91,1075736.309,775.9369,1076512.2459,1836,93,5694,0.010144089188052166,0.9517884914463453,0.24382470119521912,0.3882017126546147
0.915,1077929.01,707.8857,1078636.8957,1811,89,5719,0.009991586032814472,0.9531578947368421,0.2405046480743692,0.38409331919406153
