feature,source,gain,group,gain_share
num__V232,V232,5.6677117347717285,V,0.0006730938615356935
cat__id_37_F,id_37,5.652206897735596,identity,0.0006712525168940623
num__V180,V180,5.5931878089904785,V,0.0006642434472365406
num__V220,V220,5.562790870666504,V,0.00066063352606327
freq__freq_id_31,id_31,5.557920455932617,frequency,0.0006600551186893734
num__V37,V37,5.551419258117676,V,0.0006592830405480276
cat__DeviceType_desktop,DeviceType,5.53416109085083,identity,0.0006572334715169488
num__V11,V11,5.530941486358643,V,0.000656851113323435
num__V15,V15,5.489738464355469,V,0.0006519578684858562
num__id_06,id_06,5.4689531326293945,identity,0.0006494894156340693
num__V153,V153,5.457791805267334,V,0.0006481639034546296
cat__id_38_F,id_38,5.452876567840576,identity,0.0006475801729660722
num__V154,V154,5.442776679992676,V,0.0006463807166721125
cat__M8_F,M8,5.427143096923828,M,0.000644524082233051
num__V3,V3,5.388463973999023,V,0.0006399305740539836
num__id_02,id_02,5.386463642120361,identity,0.0006396930159050218
num__dist2,dist2,5.37870979309082,dist,0.0006387721736975681
num__V129,V129,5.31947660446167,V,0.0006317376776732086
num__V229,V229,5.251338005065918,V,0.0006236455806977142
num__V239,V239,5.247300624847412,V,0.000623166103976079
cat__id_37_T,id_37,5.21800422668457,identity,0.000619686882256397
num__V196,V196,5.211729049682617,V,0.0006189416462038731
num__V150,V150,5.182259559631348,V,0.0006154418682009794
num__V279,V279,5.166927337646484,V,0.0006136210232136805
num__V84,V84,5.1511030197143555,V,0.0006117417372228707
num__V2,V2,5.14724588394165,V,0.0006112836662176377
num__V260,V260,5.14059591293335,V,0.0006104939198659281
num__V134,V134,5.133704662322998,V,0.0006096755193012568
cat__id_15_Found,id_15,5.1240105628967285,identity,0.000608524254183642
cat__M9_<missing>,M9,5.113827705383301,M,0.0006073149444646718
num__V244,V244,5.0953192710876465,V,0.0006051168945118819
num__V25,V25,5.093922138214111,V,0.0006049509718953246
num__V6,V6,5.0863118171691895,V,0.0006040471749805615
cat__M9_T,M9,5.059613227844238,M,0.0006008764673956934
num__V321,V321,5.0434112548828125,V,0.0005989523313324216
num__D5,D5,5.0417656898498535,D,0.0005987569050697119
num__V278,V278,5.033751487731934,V,0.0005978051434941215
num__V126,V126,5.0335187911987305,V,0.0005977775086009884
num__V236,V236,5.029018402099609,V,0.0005972430452374838
cat__M8_T,M8,4.963203430175781,M,0.0005894269007911648
num__V192,V192,4.89161491394043,V,0.0005809250938734205
num__V242,V242,4.8714985847473145,V,0.0005785360913393912
cat__M2_T,M2,4.864004611968994,M,0.0005776461118711947
cat__id_28_New,id_28,4.852105617523193,identity,0.0005762329948153679
num__V92,V92,4.833048343658447,V,0.0005739697650224218
num__V222,V222,4.755585670471191,V,0.0005647703469397046
num__V272,V272,4.732128143310547,V,0.000561984545847922
num__V166,V166,4.666131973266602,V,0.000554146882427442
num__V203,V203,4.604194641113281,V,0.000546791244028169
cat__M8_<missing>,M8,4.595651149749756,M,0.0005457766243964767
num__V137,V137,4.59248161315918,V,0.0005454002122352969
cat__M7_F,M7,4.581161975860596,M,0.000544055899267906
num__V274,V274,4.561528205871582,V,0.0005417242051598002
num__V46,V46,4.548213005065918,V,0.0005401429003322412
cat__M7_<missing>,M7,4.535647869110107,M,0.0005386506727319329
num__V221,V221,4.470714569091797,V,0.0005309392350835711
num__id_19,id_19,4.462059497833252,identity,0.000529911364294106
num__V265,V265,4.458820819854736,V,0.0005295267409454174
num__V186,V186,4.396976470947266,V,0.0005221821451776218
num__V104,V104,4.376589298248291,V,0.0005197609774401097
num__V280,V280,4.359707832336426,V,0.000517756145223734
